shot_id,clip_id,shot_index,tc_in,tc_out,duration_s,verbatim_text,description,shot_deeplink,subject_role,action,food_item,food_role,setting,camera_framing,camera_angle,camera_movement,motion_speed,lighting,vfx,audio_sfx,dialogue,mood,liftable,shot_risk
APX-S-003-1,APX-C-003,1,0.0,3.0,3.0,"Macro cinematic shot of the chocolate dessert bar being lifted. Soft studio lighting, shallow depth of field, slow motion crumbs falling. The person takes a single intentional bite.","A glossy chocolate bar is lifted into soft light. Crumbs fall in slow motion. A single, deliberate bite.",,guest,biting,chocolate bar,hero,modern kitchen,ecu,eye,static,slow-mo,soft studio,none,bite crunch,,appetising,yes,
APX-S-003-2,APX-C-003,2,3.0,6.0,3.0,"At the bite moment, the chocolate melts into glowing liquid gold. The environment begins to distort — light bends, colors intensify, air shimmers like heat waves.","The chocolate melts to liquid gold and the room begins to bend — light warping, air shimmering like heat.",,guest,none,chocolate,hero,modern kitchen,cu,eye,push-in,slow-mo,bloom,energy,rising tone,,awe,partial,transform render
APX-S-003-3,APX-C-003,3,6.0,10.0,4.0,"The kitchen dissolves into a vast fantasy landscape: rivers of flowing caramel and melted chocolate, giant layered cake mountains with frosting peaks, floating candy crystals in the sky, cotton-candy clouds glowing in pastel pink and violet. Camera flies forward like a cinematic drone shot.","The kitchen dissolves into a dessert landscape — caramel rivers, cake mountains, candy crystals in the sky — and the camera flies out over it.",,guest,none,caramel; cake; candy,hero,dessert world,extreme-wide,eye,drone,real-time,volumetric bloom,particles,swell,,awe,partial,world-dissolve is the make-or-break beat
APX-S-003-4,APX-C-003,4,10.0,13.0,3.0,"The character is now inside the world, drifting through caramel waterfalls. Chocolate shards float like islands. Sprinkles fall like snow in slow motion.","She drifts through caramel waterfalls between floating islands of chocolate, sprinkles falling like snow.",,guest,none,caramel; chocolate; sprinkles,hero,dessert world,wide,eye,tracking,slow-mo,dreamy bloom,particles,soft ambience,,awe,partial,character consistency in full CG
APX-S-003-5,APX-C-003,5,13.0,15.0,2.0,The character stands on a candy cliff overlooking the glowing dessert universe. Warm magical light reflects on their face. A final slow zoom-out reveals the infinite sweet landscape.,She stands on a candy cliff above an endless glowing dessert world as the camera pulls slowly back.,,guest,none,candy,hero,dessert world,extreme-wide,low,pull-back,slow-mo,warm magical,bloom,music peak,,awe,yes,
APX-S-004-1,APX-C-004,1,0.0,2.0,2.0,"A young delivery courier launches a compact anti-grav scooter off a noodle-shop awning into a maze of wet rooftops, carrying a tower of steaming bamboo baskets.","A courier launches off a noodle-shop awning into a maze of wet rooftops, a tower of steaming bamboo baskets strapped beside him.",,courier,leaping,dumplings,hero,rooftop night market,wide,low,tracking,real-time,neon; rain,steam,launch whoosh,,playful,yes,
APX-S-004-2,APX-C-004,2,2.0,4.0,2.0,"The camera skims beside the scooter as dumpling steam trails behind like a dragon tail, neon signs reflecting across chrome panels and rain-slick tiles.",The camera runs alongside as dumpling steam trails behind him like a dragon's tail across the neon-lit tiles.,,courier,driving,dumplings,hero,rooftop night market,medium,eye,tracking,real-time,neon reflections,steam,engine hum,,playful,yes,
APX-S-004-3,APX-C-004,3,4.0,7.0,3.0,"A rival delivery drone swarm cuts across the lane; the courier ducks through hanging duck racks, clipped laundry lines, and bamboo scaffolding without dropping a single basket.","A swarm of rival drones cuts him off. He ducks through hanging duck racks, laundry lines and scaffolding without dropping a basket.",,courier,driving,roast duck; dumplings,featured,rooftop night market,medium,eye,tracking,real-time,neon,none,drone whine,,intense,yes,
APX-S-004-4,APX-C-004,4,7.0,10.0,3.0,"One basket pops open midair, dumplings flying in slow motion while the scooter slides under a closing market gate and sparks off the metal track.","A basket bursts open mid-air, dumplings suspended in slow motion, as he slides beneath a closing market gate in a shower of sparks.",,courier,sliding,dumplings,hero,market gate,medium,low,tracking,slow-mo,sparks; neon,sparks,metal scrape,,intense,yes,
APX-S-004-5,APX-C-004,5,10.0,13.0,3.0,"The rider vaults a roof gap, lands on a moving tram canopy, then threads between giant boiling exhaust pipes and red paper lanterns.","He vaults a roof gap, lands on the canopy of a moving tram, and threads between boiling exhaust pipes and red paper lanterns.",,courier,vaulting,dumplings,featured,tram canopy,wide,low,tracking,real-time,lanterns; steam,steam,tram rumble,,intense,yes,
APX-S-004-6,APX-C-004,6,13.0,15.0,2.0,"Final reveal: the courier lands at a tiny rooftop table above the whole city, gently sets down the food perfectly intact, while the skyline glows behind in rain and steam.","He lands at a small rooftop table above the whole city and sets the food down, perfectly intact, the skyline glowing behind him.",,courier,serving,dumplings,hero,rooftop table,medium,eye,push-in,real-time,city glow,steam,music resolve,,calm,yes,
APX-S-005-1,APX-C-005,1,0.0,5.0,5.0,"Italian cobblestone business street, morning. A 25-year-old Italian man, tired expression, navy suit jacket. Camera tracks from behind at a slightly low angle. He opens the canned coffee and drinks while walking. Stylish European architecture behind.","A tired young man in a navy jacket walks a cobblestone street in Italy, cracks open a can of espresso and drinks as he goes.",,guest,driving,canned espresso,hero,Italian street,medium,low,tracking,real-time,morning sun,none,street ambience,,calm,yes,
APX-S-005-2,APX-C-005,2,5.0,9.0,4.0,"From behind the man, a giant bull charges at high speed, kicking up the cobblestones. Low camera, powerful running shot. Dust, vibration, weight emphasised. The man does not notice at all.","Behind him, an enormous bull charges down the street, cobblestones shaking underfoot. He notices nothing.",,guest,none,,none,Italian street,wide,low,tracking,real-time,morning sun,particles,hooves; low bass,,intense,yes,"oversized bull must read comedic, not monstrous"
APX-S-005-3,APX-C-005,3,9.0,12.0,3.0,"The moment the man drains the can, slow motion plus fine energy particles and light. He transforms instantly into a matador's costume (ornate red and black, precise embroidery). Camera swings to the front. He dodges the charging bull elegantly with the muleta. The bull runs on and crashes into a stone wall.","He drains the can. Light gathers, and in an instant he is dressed as a matador. He turns and takes the bull with a single sweep of the cape. The bull runs on into the wall.",,guest,none,canned espresso,hero,Italian street,medium,eye,orbit,mixed,hard sun,particles; energy,cape snap; impact,,epic,partial,seamless transform is the failure point
APX-S-005-4,APX-C-005,4,12.0,14.0,2.0,"The man instantly returns to his suit. He walks off lightly as if nothing happened, a slightly satisfied expression.","He is back in his suit. He walks on, lightly, faintly pleased with himself.",,guest,none,,none,Italian street,medium,eye,tracking,real-time,morning sun,none,jazz,,playful,yes,
APX-S-005-5,APX-C-005,5,14.0,15.0,1.0,"Cut to a white or beautiful bokeh background. The reference canned coffee rotates slowly in mid-air, label controlled to face front, shining with a strong highlight.","The can turns slowly against a clean background, label forward, catching the light.",,none,none,canned espresso,hero,product limbo,cu,eye,orbit,slow-mo,hard key,lens-flare,VO,Awaken. Bia Espresso.,calm,yes,strict label match
APX-S-006-1,APX-C-006,1,0.0,3.0,3.0,"A tiny overconfident alien courier wearing a glowing jetpack suit descends through a circular hatch inside a futuristic spaceship kitchen. Below floats a giant glowing energy donut. Camera: smooth crane-down from above, ending with a slight snap-zoom toward the donut.","A small, very confident courier drops through a hatch into a ship's kitchen. Below him, a giant glowing donut hangs in the air.",,courier,none,donut,hero,spaceship kitchen,wide,high,crane,real-time,neon; holographic,energy,hum,,playful,partial,
APX-S-006-2,APX-C-006,2,3.0,6.0,3.0,"The alien lands on the floating donut. Everything pauses. Suddenly, a massive robotic guard drone drops into frame upside down, its red eye activating and scanning. The alien squashes into a cube shape from fear, then pops back. Camera: fast whip-pan into a 180-degree orbit.","He lands on the donut. A guard drone drops into frame upside down, red eye scanning. He flattens into a cube with fright, then springs back.",,courier,none,donut,hero,spaceship kitchen,medium,low,whip-pan; orbit,real-time,red scanner,none,alarm,,comedic,partial,
APX-S-006-3,APX-C-006,3,6.0,9.0,3.0,"The alien grabs the oversized donut (it wobbles like jelly) and rockets forward. His jetpack sputters, leaving zig-zag trails. He hits a floating metal tray that bends like rubber and launches him forward like a slingshot. The drone fires a slow laser that narrowly misses.","He grabs the wobbling donut and rockets away, jetpack sputtering, slingshotting off a bending metal tray as a laser misses him by inches.",,courier,sprinting,donut,hero,spaceship kitchen,medium,eye,tracking; tilt,real-time,neon,energy; sparks,jetpack sputter,,comedic,yes,
APX-S-006-4,APX-C-006,4,9.0,12.0,3.0,"Mid-air, the alien spins, then deploys a holographic parachute shaped like a pizza slice. It glitches briefly, then stabilizes. He glides forward, wobbling. Behind him, the drone stretches unnaturally, its limbs extending to grab him.","Mid-air he deploys a holographic parachute shaped like a slice of pizza. It flickers, holds, and he wobbles onward with the drone stretching after him.",,courier,none,pizza (holographic),featured,spaceship interior,medium,eye,tracking,real-time,holographic,energy,glitch,,comedic,yes,
APX-S-006-5,APX-C-006,5,12.0,15.0,3.0,"The alien crashes into a narrow maintenance hatch, bounces off the walls, then sticks a superhero landing inside. He takes a huge bite of the glowing donut, sending sparks and crumbs in slow motion. The hatch slams shut as a robotic claw reaches in.","He crashes into a maintenance hatch, ricochets, sticks the landing, and takes an enormous bite of the donut. Sparks and crumbs everywhere. The hatch slams on a reaching claw.",,courier,biting,donut,hero,maintenance hatch,cu,eye,push-in,slow-mo,warm interior,sparks; particles,impact; crunch,,comedic,yes,
APX-S-007-1,APX-C-007,1,0.0,3.0,3.0,"Close-up high-angle shot of a black digital alarm clock showing 07:00 on a dark bedside table with books and car keys, cold blue morning lighting, minimal cinematic atmosphere.",A digital clock reads seven in the morning on a dark bedside table beside books and car keys.,,none,none,,none,bedroom,cu,high,static,real-time,cold blue,none,,,calm,yes,
APX-S-007-2,APX-C-007,2,3.0,6.0,3.0,"Medium eye-level shot of the man lying in dark gray bedding wearing a white tank top, reaching out sleepily to turn off the alarm clock, soft morning shadows.",He reaches out from grey bedding and silences the alarm.,,driver,none,,none,bedroom,medium,eye,static,real-time,soft morning,none,,,calm,yes,
APX-S-007-3,APX-C-007,3,6.0,9.0,3.0,"POV fridge shot from inside the refrigerator, the man with toothbrush in mouth opening the fridge door searching for food, cool fridge lighting mixed with warm apartment tones.","Seen from inside the fridge: he opens the door, toothbrush in mouth, looking for something to eat.",,driver,none,,incidental,apartment kitchen,medium,pov,static,real-time,fridge-cool,none,,,calm,yes,
APX-S-007-4,APX-C-007,4,9.0,12.0,3.0,"Medium side-angle breakfast scene, man eating eggs and toast while checking his smartphone beside a milk bottle, sunlight entering from floor-to-ceiling windows, modern luxury apartment kitchen.","He eats eggs and toast by floor-to-ceiling windows, phone in hand.",,driver,none,eggs; toast,incidental,luxury apartment kitchen,medium,eye,static,real-time,window daylight,none,,,calm,yes,
APX-S-007-5,APX-C-007,5,12.0,15.0,3.0,"Extreme close-up of the man putting on sunglasses and grabbing luxury car keys, tattooed hands visible, glossy reflections, high-end fashion commercial feel.",Sunglasses on. Tattooed hands close around a set of car keys.,,driver,none,,none,apartment,ecu,eye,static,real-time,glossy,lens-flare,,,calm,yes,
APX-S-007-6,APX-C-007,6,15.0,18.0,3.0,"Medium interior car shot, man driving a black high-performance sports sedan through the city, motion blur outside windows, urban skyline reflections, wearing black racing jacket.","He drives a black sports sedan through the city, the skyline sliding across the glass.",,driver,driving,,none,city street,medium,eye,static,real-time,urban reflections,none,,,calm,yes,
APX-S-007-7,APX-C-007,7,18.0,21.0,3.0,"Extreme close-up of racing suit zipper being pulled upward, Porsche Motorsport style logos, PUMA branding, realistic fabric texture and stitching details.","A racing suit zips closed, stitching and sponsor marks in sharp focus.",,driver,none,,none,garage,ecu,eye,push-in,real-time,practical,none,,,intense,yes,
APX-S-007-8,APX-C-007,8,21.0,24.0,3.0,"Low-angle wide shot of a bright green Porsche 911 GT3 RS aggressively cornering on a professional racetrack, dramatic tire marks, speed sensation.","A bright green GT3 attacks a corner, tyres marking the track.",,driver,racing,,none,racetrack,wide,low,tracking,real-time,daylight,none,,,epic,yes,
APX-S-007-9,APX-C-007,9,24.0,27.0,3.0,Fast side tracking shot of the green Porsche speeding past the camera with intense motion blur and dynamic perspective distortion.,The car tears past the camera in a blur.,,driver,racing,,none,racetrack,wide,eye,tracking,real-time,daylight,none,,,epic,yes,
APX-S-007-10,APX-C-007,10,27.0,30.0,3.0,"In-car close-up of the driver wearing a professional racing helmet, focused eyes, dramatic reflections moving across visor, intense racing atmosphere.","Inside the helmet: focused eyes, the track sliding across the visor.",,driver,racing,,none,cockpit,cu,eye,static,real-time,reflections,none,,,intense,yes,
APX-S-007-11,APX-C-007,11,30.0,33.0,3.0,Aerial drone wide shot of the green Porsche racing down a giant racetrack straightaway surrounded by grandstands and track barriers.,"From above, the car runs the length of the straight between the grandstands.",,driver,racing,,none,racetrack,extreme-wide,high,drone,real-time,daylight,none,,,epic,yes,
APX-S-007-12,APX-C-007,12,33.0,36.0,3.0,"Medium following shot in the pit lane, the man in full racing suit carrying his helmet while walking confidently among crew members and mechanics, documentary-style realism.","He walks the pit lane in full suit, helmet under his arm, crew moving around him.",,driver,none,,none,pit lane,medium,eye,tracking,real-time,daylight,none,,,calm,yes,
APX-S-007-13,APX-C-007,13,36.0,39.0,3.0,"Medium shot of the driver high-fiving a bearded team member in front of the garage area, authentic motorsport victory emotion, warm natural sunlight.",He high-fives a bearded crew member outside the garage. It is a real moment.,,driver,none,,none,garage,medium,eye,static,real-time,warm sun,none,,,playful,yes,
APX-S-007-14,APX-C-007,14,39.0,42.0,3.0,"Wide cinematic interior night shot, man sitting alone on a dark leather sofa drinking beer while watching racing footage on television, moody warm lamp lighting, emotional contrast.","Late at night he sits alone on a dark sofa with a beer, watching the race back on television.",,driver,none,beer,incidental,apartment at night,wide,eye,static,real-time,warm lamp,none,,,calm,yes,
APX-S-007-15,APX-C-007,15,42.0,45.0,3.0,"Extreme close-up of tattooed hand pressing the TV remote control, television shutting off, room falling into silence, emotional cinematic ending frame.",A tattooed hand presses the remote. The screen dies. The room goes quiet.,,driver,none,,none,apartment at night,ecu,eye,static,real-time,warm lamp,none,,,calm,yes,
APX-S-008-1,APX-C-008,1,0.0,2.0,2.0,"Extreme macro close-up of her eye snapping open, iris dilating, red emergency light reflected in pupil, sweat on brow, shallow depth of field, micro handheld tremble.",An eye snaps open. Red emergency light floods the iris.,,agent,none,,none,rooftop,ecu,eye,handheld,real-time,red practicals,none,alarm,,intense,yes,
APX-S-008-2,APX-C-008,2,2.0,4.0,2.0,"Ultra-wide low-angle drone shot — she drops from a ventilation shaft, coat billowing in slow motion, thick fog below, city bokeh lights, anamorphic lens flare.","She drops from a ventilation shaft, coat billowing, into fog forty storeys above a glowing city.",,agent,leaping,,none,rooftop,extreme-wide,low,drone,slow-mo,city bokeh,lens-flare,wind,,epic,yes,
APX-S-008-3,APX-C-008,3,4.0,6.0,2.0,"Fast lateral tracking shot, Dutch angle, she pivots and sprints toward the rooftop ledge as three armed operatives appear behind her, shallow focus.",She pivots and sprints for the ledge. Three armed figures round the corner behind her.,,agent,sprinting,,none,rooftop,medium,dutch,tracking,real-time,neon; rain,none,footfalls,,intense,yes,
APX-S-008-4,APX-C-008,4,6.0,8.0,2.0,"120fps phantom slow-motion close-up — her bare hand grips a fraying steel cable, knuckles white, bullet spark grazes cable, golden practical light burst.",Her bare hand closes on a fraying steel cable. A round strikes it and throws sparks.,,agent,none,,none,rooftop ledge,cu,eye,static,slow-mo,golden practical,sparks,impact,,intense,yes,
APX-S-008-5,APX-C-008,5,8.0,10.0,2.0,"Aerial vertigo drone plunge — she swings off the ledge into freefall between two glass skyscrapers, city grid glowing below, dramatic pullback reveal.","She swings off the ledge and falls between two glass towers, the city grid glowing far below.",,agent,leaping,,none,between skyscrapers,extreme-wide,high,drone; pull-back,real-time,city glow,none,wind roar,,epic,yes,
APX-S-008-6,APX-C-008,6,10.0,12.0,2.0,"Side-angle medium shot — she crashes onto a glass skylight, spider-web cracks radiate outward in real-time, she rolls and continues without pause.","She lands on a glass skylight, cracks racing outward beneath her, rolls, and keeps going.",,agent,none,,none,skylight,medium,eye,static,real-time,practical,shatter,glass crack,,intense,yes,
APX-S-008-7,APX-C-008,7,12.0,14.0,2.0,"Slow push-in over-shoulder shot — she glances back once, jaw set, eyes cold and certain, city fog drifts through frame.",One glance back. Jaw set. Fog moves through the frame.,,agent,none,,none,rooftop,medium,eye,push-in,real-time,fog; neon,none,score,,intense,yes,
APX-S-008-8,APX-C-008,8,14.0,15.0,1.0,"Smash cut to black as she enters a dark stairwell, door slams shut.",She steps into a dark stairwell. The door slams. Black.,,agent,none,,none,stairwell,medium,eye,static,real-time,dark,none,door slam,,intense,yes,
APX-S-009-1,APX-C-009,1,0.0,3.0,3.0,Alarm clock hits 6:00 AM. Slow-motion wake-up shot with dramatic sunlight through curtains. Shoes hit the floor like an action movie intro while cinematic bass builds.,Six in the morning. Sunlight through the curtains. Shoes hit the floor like the opening of a film.,,guest,none,,none,bedroom,medium,eye,static,slow-mo,dramatic sun,none,bass build,,epic,yes,
APX-S-009-2,APX-C-009,2,3.0,6.0,3.0,"Fast cuts of normal daily moments edited with epic energy — brushing teeth, making coffee, putting on headphones, walking through crowded streets while everything moves in synchronized slow motion.","Brushing teeth, making coffee, headphones on, walking a crowded street — all of it in synchronised slow motion.",,guest,pouring,coffee,incidental,apartment; street,medium,eye,handheld,slow-mo,natural,none,beat,,epic,partial,
APX-S-009-3,APX-C-009,3,6.0,9.0,3.0,"Cinematic commute sequence. Reflections of skyscrapers glide across train windows, traffic lights blur dramatically, rain hits the pavement in slow motion while the main character walks confidently through the city.","Skyscrapers slide across train windows, traffic lights blur, rain lands slow on the pavement as he walks the city.",,guest,none,,none,train; city,medium,eye,tracking,slow-mo,overcast; neon,none,score,,epic,yes,
APX-S-009-4,APX-C-009,4,9.0,12.0,3.0,"Everyday interactions become emotionally intense — typing on a laptop feels like hacking into a system, entering a meeting feels like a mission briefing, ordering coffee feels like a dramatic character moment.",Typing becomes an infiltration. A meeting becomes a briefing. Ordering coffee becomes a moment that matters.,,guest,none,coffee,incidental,office; café,medium,eye,push-in,real-time,office practicals,none,score,,epic,partial,
APX-S-009-5,APX-C-009,5,12.0,15.0,3.0,Final trailer-style ending shot. The main character stands on a rooftop overlooking the glowing city skyline at sunset while epic cinematic music peaks. Screen fades to black with dramatic title-card energy.,He stands on a rooftop above the glowing skyline at sunset. Fade to black.,,guest,none,,none,rooftop,extreme-wide,low,pull-back,real-time,sunset,lens-flare,music peak,,epic,yes,
APX-S-010-1,APX-C-010,1,0.0,10.0,10.0,"She sees a rescue flare in the distance and begins to run. The camera follows closely, crossing collapsed rooftops, leaping shattered skylights, sliding down a tilted glass dome and grabbing a hanging cable. Below, dark floodwater surges through streets of floating cars and statues. She lands on the roof of a half-submerged tram and reaches the beacon platform as a great wave sweeps past behind her.","She sees a distant flare and runs — across collapsed rooftops, through a shattered skylight, down a tilted glass dome on a hanging cable, over the roof of a half-drowned tram, to a rescue beacon as a wave sweeps past behind her.",,agent,sprinting; vaulting,,none,drowned city,wide,eye,handheld,real-time,cold grey-blue,water,wind; water,,intense,yes,
APX-S-010-2,APX-C-010,2,10.0,17.0,7.0,"A huge wave breaks across the platform, seawater to the knee. Her silver bionic arm drives into the central console, metal knuckles closing on the red signal button. Close-up: the button pulses faintly in the storm light. The arm slams it down with a heavy electrical bite. The red beacon ignites and stains the surrounding water blood-red.",A wave breaks across the platform. Her bionic arm drives into the console and slams the red beacon button. The light ignites and stains the water red.,,agent,none,,none,flooded beacon platform,cu,eye,push-in,real-time,storm; red beacon,water; energy,electrical bite,,intense,yes,
APX-S-010-3,APX-C-010,3,17.0,24.0,7.0,"The platform floor begins to shake, seawater rippling outward in circles. A vertical rift tears open in mid-air, edges pouring incandescent white and amber light, expanding into a three-metre oval gate. Arcs jump around the frame. Through the gap, warm light and the noise of a crowd.","The platform shakes. A rift tears open in the air, spilling white and amber light into an oval gate three metres tall. Through it: warm light, and the sound of a crowd.",,agent,none,,none,flooded beacon platform,wide,eye,pull-back,real-time,white-amber energy,energy,low resonance,,awe,partial,portal render
APX-S-010-4,APX-C-010,4,24.0,28.0,4.0,"She steps across the threshold, camera tight at her shoulder. Cold grey-blue storm light is replaced instantly by the warm gold of noon. The roar of waves is drowned by the cries of a market. Her white suit blazes again in the sun.","She steps through. Storm light becomes noon gold in an instant, and the roar of water becomes the noise of a market.",,agent,none,,none,threshold / market,medium,eye,tracking,real-time,hard cut cold to gold,energy,hard audio cut,,awe,yes,the cold-to-warm hard cut is the signature beat
APX-S-010-5,APX-C-010,5,28.0,43.0,15.0,"Rapid handheld movement through a crowded market street. She sprints past fruit stalls, woven bamboo baskets, fabric stalls and hanging strings of spice. She vaults a stall on her mechanical arm, fingers clipping a basket and tipping a heap of fruit. Fruit scatters and bursts across the flagstones. The camera whip-pans to follow her into a narrow lane.","She sprints through a crowded food market — fruit stalls, bamboo baskets, hanging spice — vaults a stall on her mechanical arm and sends a heap of fruit scattering across the flagstones.",,agent,sprinting; vaulting,fruit; spices,featured,ancient food market,medium,eye,handheld; whip-pan,real-time,hard noon sun,particles,market cries; fruit burst,,intense,yes,
APX-S-010-6,APX-C-010,6,43.0,55.0,12.0,"She stops in an empty lane, turns, and a slender tachi with a faint blue glow forms in her silver hand. Figures pour from the shadows at both ends. Fast tracking combat, blue blade trails against noon gold. A downward strike drives a blue shockwave through the flagstones. She sheathes the blade; the lane fractures like old porcelain and hangs suspended in the light.","She stops in an empty lane and a glowing blade forms in her hand. Figures close in from both ends. She fights, then drives a single strike into the ground and the whole lane fractures like old porcelain and hangs in the air.",,agent,none,,none,narrow lane,wide,low,tracking,mixed,noon gold; blue energy,energy; sparks,rock; strings,I AM THE STORM THAT IS APPROACHING!,epic,partial,DARK CONTENT — status depends on the unset occasion rule
APX-S-011-1,APX-C-011,1,0.0,5.0,5.0,Golden sunlight rises over sand dunes as a traditional Bedouin tent glows warmly. Family members prepare for Eid inside with lanterns and carpets surrounding them.,"Dawn over the dunes. Inside a Bedouin tent lit by lanterns, a family begins preparing for Eid.",,family,none,,none,desert camp,wide,eye,static,real-time,golden-hour,none,,,reverent,yes,
APX-S-011-2,APX-C-011,2,5.0,10.0,5.0,Close-up cinematic shots of a father wearing a white kandura and a mother adjusting elegant jewelry and hijab. Soft desert light enters through tent fabric.,A father in a white kandura; a mother adjusting her jewellery. Soft light through the tent fabric.,,family,none,,none,tent interior,cu,eye,static,real-time,soft diffuse,none,,,reverent,yes,
APX-S-011-3,APX-C-011,3,10.0,15.0,5.0,"The family walks slowly beside camels across glowing desert dunes. Cinematic drone shot, flowing robes moving beautifully in the wind.","The family walks beside their camels across the dunes, robes moving in the wind.",,family,none,,none,dunes,extreme-wide,high,drone,real-time,golden-hour,none,,,reverent,yes,
APX-S-011-4,APX-C-011,4,15.0,20.0,5.0,"Traditional Arabic dishes, dates and tea arranged on luxurious carpets outdoors. Hands placing food carefully, rich textures, cinematic food photography.","Dates, tea and traditional dishes are laid out on carpets in the open air. Hands place each thing carefully.",,family,feasting,dates; tea; Arabic dishes,hero,carpets outdoors,cu,high,push-in,real-time,golden-hour,none,,,appetising,yes,
